	channel	date	message
0	amirkabir	2019-10-16 08:51:50	از نظر من که از بیرون میبینم این آقای کریمیان نقش پلیس بد و آقای رازفر پلیس خوب رو داره ولی با هم هماهنگن که سرتونو گرم کنن   
1	amirkabir	2019-10-16 08:52:26	یه ساعت زنونه توی سالن مطالعه برق سمت چپ سالن گم شده لطفا هرکی دید به ادمین پیام بده  گمشده ها  
2	amirkabir	2019-10-16 08:53:16	برای ورودیای جدید سیستم آموزشی قبل کنکور به کل تغییر کرده ولی سیستم بعد از کنکور همچنان براساس نظام قدیمه  همین نشون میده که چقد آموزشمون رو هواس   
3	amirkabir	2019-10-16 09:18:47	صدای مرا از جمهوری اسلامی ایران می شنوید    اینم از کشور مسلمونمون    شما زنگ بزنی آمریکا دقیقه ای  تومن اما تو اربعین از ایران زنگ بزنی همین عراق بغل گوشمون که از عزیز کربلا رفته ات یه احوالی بپرسی دقیقه ای  تومن میفته برات   
4	amirkabir	2019-10-16 09:19:12	هنوزم هم هستند کسایی که رو دیوار های کلاس یادگاری میکشن   
5	amirkabir	2019-10-16 09:20:08	کاش به جای معادلات چند واحد شعور و فرهنگ میدادن بت پاس کنی   
6	amirkabir	2019-10-16 09:21:12	یادمه چند نفر بودیم تو یه روز میان ترم فیزیک  و  دادیم   یکی از هوش رفت آخرای امتحان فیزیک  بردنش اورژانس  فقط میتونم براتون از هوش نرفتن رو آرزو کنم  میم شیمی   
7	amirkabir	2019-10-16 09:39:44	 واحد درس عمومی با کارایی صفر درصد این یعنی تباهی کامل اعتراض به هر حق ضایع شده ای خوب و محترمه ولی کاشکی یه روزی پیکان حق خواهیمون به سمت ریشه های غلط باشه وگرنه شاخ و برگو هر چقدر بزنی بازم رشد میکنه   دانشکده میم میم  صفر کلوین   
8	amirkabir	2019-10-16 18:39:43	اولین کوردن بلو پلی تکنیک    
9	amirkabir	2019-10-17 12:28:59	من موقه دیدن برنامه میانترم  فاکککککککک  برقیه معترض   
10	amirkabir	2019-10-17 12:30:07	اینکه هی بگیم نظلم آموزشیمون مشکل داره و فلان و انقدر ورودی های جدید رو بهشون استرس بدیم  هر دانشکده میتونه با هزینه خیلی کم و حتی رایگان از ورودی های قبل مثل  که بیشتر یادشون تو دبیرستان چی خوندن استفاده کنه و یکی دو جلسه کلاس انتگرال بذاره  پلیمری گیر   
11	amirkabir	2019-10-17 12:30:55	قطعا دیوونه خونه اونجاییه که طبقه هشتمش کمیته انضباطیه و مسولش فکر میکنه میتونه به تمامی مجموعه های مستقل اون طبقه صرفا بخاطر حسن همجواری حکمفرمایی کنه    
